"titulo","titulo_fonte","genero","genero_fonte","diretor","diretor_fonte","dataLancamento","dataLancamento_fonte","nota","nota_fonte","atores","atores_fonte","distribuidora","distribuidora_fonte","captado","captado_fonte","maximo_numero_de_salas","maximo_numero_de_salas_fonte","bilheteria","bilheteria_fonte","publico","publico_fonte","classificacao_indicativa","classificacao_indicativa_fonte","titulo_filme_anterior","publico_filme_anterior","fonte_publico_filme_anterior","nome_programaTv","pontos_ibobeSP_Ano_do_lancamento","fonte_pontos_ibobeSP_Ano_do_lancamento","relancamento","temFilmeAnterior","filmeBaseadoSerieTV"
"a cartomante","filmeB","Drama / Romance","ministerioDaJustica","wagner de assis / pablo uranga","ministerioDaJustica",2004-01-30,"folha","2","imdb","luigi baricelli / deborah secco / silvia pfeifer / giovanna antonelli / mel lisboa","ministerioDaJustica","imovision","ministerioDaJustica",1316494.65468562,"ancine",46,"filmeB",408444.567474439,"ancine",36094,"filmeB","16","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"casa da mae joana","filmeB","Comédia","ministerioDaJustica","hugo carvana","ministerioDaJustica",2008-09-19,"filmeB","3","imdb","paulo betti / pedro cardoso / laura cardoso","ministerioDaJustica","imagem","ministerioDaJustica",4356249.09227237,"ancine",151,"filmeB",5149912.83202712,"ancine",525035,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a casa de alice","filmeB","Drama","ministerioDaJustica","chico teixeira","ministerioDaJustica",2007-11-15,"filmeB","3","imdb","carla ribas / vinicius zinn / ricardo vilaca","ministerioDaJustica","imovision","ministerioDaJustica",3062563.17640878,"ancine",13,"filmeB",263988.472622524,"ancine",24625,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a casa de sandro","filmeB","Documentário","ministerioDaJustica","gustavo beck","ministerioDaJustica",2011-09-23,"filmeB","3","adorocinema -- site","documentario",NA,"enquadramento","ministerioDaJustica",NA,NA,2,"ancine",403.586540538694,"ancine",56,"ancine","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a casa verde","filmeB","Infantil","ministerioDaJustica","paulo nascimento","ministerioDaJustica",2010-04-30,"filmeB","4","imdb","nicola siri / fernanda moro / ze victor castiel / lui strassburger","ministerioDaJustica","espaco","filmeB",1431486.99141295,"ancine",9,"filmeB",158797.927911845,"ancine",24588,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"achados e perdidos","filmeB","Drama","ministerioDaJustica","jose hoffily","ministerioDaJustica",2006-04-01,"folha","3","imdb","antonio fagundes / zeze polessa / juliana knust","ministerioDaJustica","ab","ministerioDaJustica",2385889.90474363,"ancine",20,"filmeB",161818.079264237,"ancine",14328,"filmeB","18","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a concepcao","filmeB","Drama","ministerioDaJustica","jose eduardo belmonte","ministerioDaJustica",2006-05-12,"folha","3","imdb","matheus nachtergaele / milhem cortaz / rosanne mulholland","ministerioDaJustica","imovision","ministerioDaJustica",296085.249587545,"ancine",10,"filmeB",215969.022327899,"ancine",20827,"filmeB","18","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"acquaria","filmeB","Aventura","ministerioDaJustica","flavia moraes","ministerioDaJustica",2003-12-12,"adorocinema","2","imdb","sandy / junior","ministerioDaJustica","fox","ministerioDaJustica",8905864.12573439,"ancine",340,"filmeB",7683341.98541296,"ancine",837695,"filmeB","0","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"acredite! um espirito baixou em mim","filmeB","Comédia","ministerioDaJustica","jorge moreno / sandra pera","ministerioDaJustica",2006-03-24,"adorocinema","3","imdb","mauricio cangucu / silvio amaral / claudia mauro / marilia pera","ministerioDaJustica","fam","ministerioDaJustica",NA,NA,2,"filmeB",314434.503023073,"ancine",30458,"filmeB","10","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"adagio sostenuto","filmeB","Drama","ministerioDaJustica","pompeu aguiar","ministerioDaJustica",2009-05-15,"filmeB","3","imdb","dedina bernardelli / alexandre borges","ministerioDaJustica","pipa","ministerioDaJustica",NA,NA,3,"ancine",12390.9304890078,"ancine",2112,"filmeB","14","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a danca da vida","filmeB","Documentário","ministerioDaJustica","juan zapata","ministerioDaJustica",2008-10-10,"filmeB","3","filmhow","documentario",NA,"zapata","filmeB",NA,NA,6,"ancine",2099.33472638703,"ancine",334,"ancine","12","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a deriva","filmeB","Drama","ministerioDaJustica","heitor dhalia","ministerioDaJustica",2009-07-31,"filmeB","3","imdb","caua reymond / vicent cassel / debora bloch","ministerioDaJustica","paramount","ministerioDaJustica",4886429.06084218,"ancine",41,"filmeB",1118954.96376371,"ancine",94498,"filmeB","16","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
"a dona da historia","filmeB","Romance","ministerioDaJustica","daniel filho / joao falcao","ministerioDaJustica",2004-10-01,"adorocinema","3","imdb","rodrigo santoro / marieta severo / debora falabella / antonio fagundes","ministerioDaJustica","columbia","ministerioDaJustica",7943487.72668813,"ancine",261,"filmeB",14642170.2711134,"ancine",1271415,"filmeB","10","ministerioDaJustica",NA,0,NA,NA,0,NA,FALSE,FALSE,FALSE
